Carimbo de data/hora,A qual instituição você está filiado hoje?,"Se você estuda na UFPR, em qual setor você está inserido?  ",Qual sua atividade atual na sua universidade (relacionada à presença nesta disciplina)?,Em qual grande área do conhecimento sua pesquisa está inserida hoje?,Em qual ano você concluiu sua graduação?,"Em qual instituição você concluiu sua graduação? (Insira a sigla, ex: UFPR, UNIOESTE, PUCPR, UEM, UEL, etc.)",De quais programas de graduação você participou?,"Se você já concluiu o mestrado, qual o ano de início do mestrado?",Qual o ano de conclusão do seu mestrado?,Em qual instituição você fez seu mestrado?,Quantos artigos (com qualis) você já publicou?,Você é bolsista remunerado de algum programa? Qual?,Quantas disciplinas de Estatística você cursou na graduação?,Quantas disciplinas DIFERENTES de Estatística vc cursou na pós-graduação (mestrado + doutorado) no total? ,Já utilizou algum software com funcionalidades estatísticas?,Qual(is) software(s) com funcionalidades estatísticas você usa ou já usou?,Você vai utilizar métodos estatísticos na sua Pós-Graduação/Pesquisa?,Qual a importância que você atribui à Estatística no seu trabalho de Pós-Graduação/Pesquisa? ,"Se você está fazendo Pós-Graduação, qual a sua principal expectativa após a conclusão?",Como tomou conhecimento da Disciplina Transversal?,"Após se matricular no SIGA, você assistiu alguma aula do ano anterior da Disciplina no YouTube? ",A qual turma da disciplina você pertence?,Tem/teve contato ou conhecimento sobre o Prof. Coordenador da Disciplina (Paulo Justiniano)?,Tem/teve contato ou conhecimento sobre o(s) prof(s). colaboradores da disciplina?,Você cursou o ensino médio em escola pública ou particular?,Você cursou ensino médio tradicional ou profissionalizante?,Sexo,Qual a sua altura?,Qual o seu peso?,Qual a data do seu nascimento?,Qual das seguintes categorias descreve melhor sua situação de emprego?,Você mora,Quantos irmãos você tem?,Qual a sua origem?,Possui habilitação para dirigir? Qual categoria?,Qual seu meio de transporte predominante para ir para Universidade?,"Em média, quanto tempo você demora para chegar a Universidade?","Em média, quantas vezes você usa táxi/aplicativo de transporte durante o mês?",Possui animal de estimação?,Toca algum instrumento musical?,De quais redes sociais você participa?,Quantos anos você acha que a pessoa da foto abaixo tem?,"Observe as figuras abaixo. Uma delas se chama ""Bouba"" e a outra ""Kiki"". Quem é quem?"
17/03/2020 02:10:42,UFPR,ET - Exatas,Mestrado Acadêmico,Ciências Exatas,2019,Unopar ,Nenhum ,,2022,,0,Não,2,0,Sim,Excel,Certamente sim,9,Continuar com a pesquisa e avançar para o próximo curso. Seguir os estudos.,Pelo(a)  orientador(a),Não,Remota,Não,Não,Totalmente em escola pública,Ensino médio tradicional,Masculino,169,90,10/07/1989,Trabalho por contrato,Com o namorado(a)/noivo(a)/cônjuge,2,Interior do Paraná,A e B (moto e carro),Carro/moto próprio,25,10,"Cachorro, Pássaro, Peixe, Tartaruga, Coelho","Violão, Guitarra, Outro","Facebook, Twitter, Instagram, Linkedin",48,A se chama Bouba e B se chama Kiki.
17/03/2020 02:17:51,UFPR,SD - Saúde,Mestrado Acadêmico,Ciências Biológicas,2018,UFPR,"Iniciação científica, Monitoria",,2022,,0,Não,1,0,Sim,Excel,Certamente sim,5,Aumento salarial e oportunidades mais promissoras.,Site da UFPR ou instituição de origem,Não,Presencial,Não,Não,Totalmente em escola pública,Ensino médio tradicional,Masculino,173,70,04/09/1991,Trabalho com carteira assinada/Vínculo Formal,Com o namorado(a)/noivo(a)/cônjuge,2,Curitiba,B (carro),Carro/moto próprio,40,5,Gato,"Violão, Guitarra",Facebook,43,B se chama Bouba e A se chama Kiki.
17/03/2020 07:34:30,UFPR,,Doutorado,Ciências Biológicas,2001,UFERSA,"Monitoria, Projeto de extensão",2005,2007,UNESP Botucatu,2,Não,2,16,Não,,Certamente sim,8,Aumento salarial e oportunidades mais promissoras.,Por ex-alunos da Disciplina,Não,Remota,Não,Não,Totalmente em escola particular,Ensino médio tradicional,Masculino,180,80,08/07/1978,Trabalho com carteira assinada/Vínculo Formal,Sozinho,2,Outro Estado,B (carro),Táxi/Aplicativo,60,8,Não possuo,Violão,"Facebook, Twitter, Instagram, Linkedin",55,A se chama Bouba e B se chama Kiki.
17/03/2020 07:36:03,UNILA,,Mestrado Acadêmico,Ciências Exatas,2016,Universidade Estácio de Sá ,Projeto de extensão,,,,0,Unila,1,2,Não,,Não sei ainda,8,Aumento salarial e oportunidades mais promissoras.,Pelo(a)  orientador(a),Não,Remota,Não,Não,Totalmente em escola particular,Ensino médio tradicional,Masculino,193,112,24/08/1994,Trabalho ocasional,Com o namorado(a)/noivo(a)/cônjuge,3,Outro Estado,B (carro),Carro/moto próprio,50,0,"Cachorro, Gato","Violão, Guitarra, Contrabaixo","Facebook, Instagram, Linkedin",40,B se chama Bouba e A se chama Kiki.
17/03/2020 07:53:41,UEPG,,Doutorado,Ciências Biológicas,2014,UFPR,"Iniciação científica, PET, Monitoria, Projeto de extensão",2017,2019,PUCPR,2,CAPES,0,20,Sim,SPSS,Certamente sim,10,Conseguir um emprego.,Pelo(a)  orientador(a),Não,Remota,Não,Não,Totalmente em escola pública,Ensino médio tradicional,Feminino,172,64,16/11/1991,Bolsista em tempo integral,Com os pais,5,Interior do Paraná,B (carro),Carro/moto próprio,30,0,Cachorro,Não toco nenhum instrumento,"Facebook, Instagram",55,B se chama Bouba e A se chama Kiki.
17/03/2020 08:05:30,UEPG,,Mestrado Acadêmico,Ciências Biológicas,2016,CESCAGE Ponta Grossa Pr,"Iniciação científica, Monitoria, Projeto de extensão",,,,0,Não,1,0,Não,,Certamente sim,10,Continuar com a pesquisa e avançar para o próximo curso. Seguir os estudos.,Pelo(a)  orientador(a),Não,Remota,Não,Não,Totalmente em escola particular,Ensino médio tradicional,Masculino,170,75,20/06/1985,Bolsista em tempo integral,Com o namorado(a)/noivo(a)/cônjuge,1,Interior do Paraná,B (carro),Carro/moto próprio,15,2,Não possuo,Contrabaixo,"Facebook, Instagram, Linkedin",55,B se chama Bouba e A se chama Kiki.
17/03/2020 08:17:59,UFPR,"AC - Artes, Comunicação e Design",Doutorado,Ciências Humanas,1999,UTP,,2006,2008,UFPR,1,Não,1,18,Sim,Excel,Certamente sim,9,Aumento salarial e oportunidades mais promissoras.,Por colegas,Não,Remota,Não,Não,Totalmente em escola particular,Ensino médio profissionalizante (técnico),Masculino,171,94,01/02/1977,Trabalho com carteira assinada/Vínculo Formal,Com o namorado(a)/noivo(a)/cônjuge,3,Curitiba,A e B (moto e carro),Carro/moto próprio,20,1,Cachorro,Não toco nenhum instrumento,"Facebook, Twitter, Instagram, Linkedin",56,B se chama Bouba e A se chama Kiki.
17/03/2020 08:29:17,UFPR,SD - Saúde,Mestrado Acadêmico,Ciências Biológicas,2015,UNIBRASIL,"Iniciação científica, Monitoria, GRUPOS DE PESQUISA",,,,1,CAPES,0,0,Não,Excel,Certamente sim,8,"NÃO SEI, AINDA NÃO CONCLUI A PÓS-GRADUAÇÃO. ",Pelo(a)  orientador(a),Não,Presencial,Não,Não,Totalmente em escola pública,Ensino médio tradicional,Masculino,171,77,23/04/1989,Bolsista em tempo integral,Com o namorado(a)/noivo(a)/cônjuge,1,Interior do Paraná,B (carro),Carro/moto próprio,20,0,Cachorro,Não toco nenhum instrumento,Nenhuma,70,A se chama Bouba e B se chama Kiki.
17/03/2020 08:34:39,UEPG,,Doutorado,Ciências Biológicas,2014,UEPG,"PET, Monitoria, Projeto de extensão",2018,2020,UEPG,1,Não,1,1,Sim,"SPSS, Excel",Certamente sim,10,Continuar com a pesquisa e avançar para o próximo curso. Seguir os estudos.,Pelo(a)  orientador(a),Não,Remota,Não,Não,"Parte em escola pública, parte em particular","Não conclui profissionalizante, fiz metade ",Feminino,160,70,02/05/1992,Trabalho com carteira assinada/Vínculo Formal,Com o namorado(a)/noivo(a)/cônjuge,2,Interior do Paraná,B (carro),Carro/moto próprio,60,2,Cachorro,Não toco nenhum instrumento,"Facebook, Twitter, Instagram, Linkedin",50,B se chama Bouba e A se chama Kiki.
17/03/2020 08:39:59,UEPG,,Doutorado,Ciências Biológicas,2016,Uepg,"Iniciação científica, Projeto de extensão",2018,2020,uepg,4,Não,0,1,Não,,Certamente sim,10,Aumento salarial e oportunidades mais promissoras.,pela Uepg,Não,Remota,Não,Não,Totalmente em escola particular,Ensino médio profissionalizante (técnico),Feminino,178,92,29/12/1994,Trabalho por contrato,Sozinho,1,Interior do Paraná,A (moto),Transporte público,45,4,Cachorro,Outro,"Facebook, Instagram, Linkedin",38,B se chama Bouba e A se chama Kiki.
